name,buy_percentage,sell_trade_num,stop_loss,take_profit,profit
threshold1,0,0,0.0,0.0,10.0
threshold2,0,0,0.0,0.0,7.0
threshold3,0,0,0.0,0.0,5.0
廖霽,99,10,100.0,100.0,3.0699999999999954
Roy,4,all,100.0,99.0,1.0950000000000015
joseph,50,2,inf,inf,3.2650000000000063
chinaNo1,4,8,inf,inf,2.7150000000000007
twNO1,100,1,inf,inf,4.834999999999988
TWNO2,100,1,inf,5.0,2.6250000000000107
NO1,20,5,inf,5.0,2.4699999999999944
JOSEPH,20,all,inf,20.0,1.82
tttt,20,5,8.0,8.0,0.9500000000000064
tttt2,20,5,92.0,8.0,2.7400000000000095
1,35,1,92.0,5.0,2.774999999999994
JJJ,10,1,60.0,100.0,10.949999999999992
張大帥,80,2,50.0,80.0,9.454999999999991
QQ,11,2,50.0,11.0,2.9549999999999965
tttt2,5,all,inf,50.0,1.705000000000001
jjj,4,1,inf,100.0,16.674999999999994
aa,85,4,80.0,30.0,10.214999999999996
CPY,30,5,20.0,80.0,5.745
www,20,2,80.0,100.0,-0.9850000000000024
Ryan,20,2,80.0,50.0,-0.9850000000000024
Ryan,20,all,80.0,50.0,1.82
Ryan,50,all,90.0,80.0,3.7400000000000095
Ryan,80,all,90.0,80.0,9.454999999999991
張語膿,80,all,15.0,20.0,9.454999999999991
謝浩勤,80,all,15.0,30.0,9.454999999999991
emma,50,2,17.0,35.0,3.035000000000009
chiu chu,50,5,30.0,80.0,3.7400000000000095
chiu chu,50,5,20.0,80.0,3.7400000000000095
chiu chu,50,5,20.0,80.0,3.7400000000000095
aaa,50,4,10.0,80.0,3.7400000000000095
ooo,40,4,10.0,80.0,4.725000000000001
LL,40,4,10.0,40.0,4.725000000000001
233,10,3,10.0,55.0,2.5800000000000045
233,10,6,30.0,55.0,7.774999999999999
Evan,80,8,20.0,30.0,9.454999999999991
a215,25,2,20.0,50.0,-0.16000000000000458
CHIA-YU,10,2,20.0,70.0,2.3749999999999942
flavor,10,2,80.0,20.0,2.50999999999999
楊翊愷的朋友1,15,6,30.0,50.0,2.4599999999999955
王國豪,50,2,10.0,20.0,2.1099999999999897
zihao,20,1,inf,30.0,1.7749999999999932
pei,10,3,10.0,15.0,3.735
rong,15,4,10.0,15.0,2.4499999999999966
pei,10,1,3.0,20.0,7.184999999999998
MEG,5,2,7.0,20.0,1.1500000000000066
12345,5,2,3.0,20.0,1.2150000000000103
JY,50,10,inf,35.0,3.7400000000000095
JY,35,10,inf,50.0,3.9400000000000097
JY,35,all,inf,50.0,3.9400000000000097
JY,35,all,inf,inf,3.9400000000000097
JY,100,all,inf,inf,4.834999999999988
en,30,3,20.0,30.0,4.469999999999996
湯湯湯,25,3,5.0,15.0,0.3300000000000081
in,25,4,10.0,25.0,1.21
wayne,50,3,40.0,80.0,3.7400000000000095
wayen==,50,3,50.0,80.0,3.7400000000000095
wayne,50,4,50.0,80.0,3.7400000000000095
wayne,62,4,50.0,80.0,6.129999999999992
印起來,60,2,20.0,80.0,5.564999999999998
jackxie,7,2,1.0,85.0,2.8049999999999904
jack,7,2,100.0,85.0,8.479999999999999
zih,100,1,inf,4.0,2.6250000000000107
1,4,1,inf,inf,16.674999999999994
joseph,50,all,inf,50.0,3.7400000000000095
張大帥,4,10,inf,5.0,0.770000000000004
joseph,4,1,inf,inf,16.674999999999994
張大帥,5,2,inf,inf,5.0550000000000095
張大帥,5,1,inf,inf,17.12499999999999
joaeph,6,1,10.0,inf,12.064999999999992
hao,5,1,inf,inf,17.12499999999999
hao,7,1,inf,inf,18.290000000000006
hh,8,1,inf,inf,17.755000000000013
0,10,1,inf,inf,10.949999999999992
000,7,1,inf,3.0,4.735
arthur,30,2,80.0,50.0,3.269999999999995
su,50,all,90.0,20.0,3.7400000000000095
sue,4,all,inf,inf,1.0950000000000015
renchu,77,7,77.0,77.0,8.889999999999997
0,7,1,inf,15.0,15.090000000000005
J,50,10,22.0,15.0,3.7400000000000095
j,100,all,100.0,100.0,4.834999999999988
j,100,1,100.0,100.0,4.834999999999988
j,50,2,100.0,100.0,3.2650000000000063
j,50,2,inf,1.0,4.794999999999994
j,100,1,inf,1.0,4.885000000000006
a,100,10,100.0,inf,4.834999999999988
e,50,5,50.0,50.0,3.7400000000000095
w,50,5,70.0,50.0,3.7400000000000095
e,70,5,70.0,50.0,7.214999999999994
e,4,5,70.0,50.0,2.744999999999997
e,4,3,70.0,50.0,2.7300000000000098
e,4,10,70.0,50.0,2.1749999999999936
e,4,10,70.0,50.0,2.1749999999999936
e,4,10,70.0,70.0,2.1749999999999936
e,4,10,100.0,70.0,2.1749999999999936
e,4,10,10.0,10.0,0.3700000000000037
e,4,10,12.0,10.0,0.8850000000000025
e,4,10,9.0,10.0,0.4350000000000076
e,4,10,10.0,5.0,-0.034999999999996145
e,4,10,10.0,2.0,-0.3550000000000053
e,4,10,10.0,1.0,-0.32999999999999696
e,4,10,10.0,inf,0.5600000000000049
e,4,10,15.0,1.0,0.4450000000000065
e,4,10,10.0,1.0,-0.32999999999999696
e,4,10,5.0,1.0,-0.034999999999996145
e,4,10,inf,1.0,0.4450000000000065
e,4,10,3.0,1.0,-0.4000000000000004
e,4,10,4.0,100.0,0.2599999999999936
e,100,10,4.0,1.0,-2.5750000000000046
e,100,10,3.0,1.0,-2.5750000000000046
e,100,10,6.0,1.0,-0.7399999999999962
e,100,10,7.0,1.0,4.885000000000006
e,100,10,2.0,1.0,4.3400000000000105
e,100,10,3.0,1.0,-2.5750000000000046
e,80,10,3.0,1.0,-0.2299999999999969
r,100,10,5.0,1.0,-0.7399999999999962
e,100,10,3.0,1.0,-2.5750000000000046
e,100,5,3.0,1.0,-2.5750000000000046
e,100,1,3.0,1.0,-2.5750000000000046
j,90,1,3.0,1.0,-1.5149999999999997
j,100,1,3.0,inf,-2.805000000000002
winston,8,3,4.0,40.0,5.145
123,8,10,4.0,40.0,2.305000000000001
123456,8,10,3.0,40.0,1.6550000000000065
123,100,10,85.0,68.0,4.834999999999988
550,100,1,30.0,40.0,4.834999999999988
123,30,5,30.0,40.0,5.745
angela,10,1,10.0,10.0,4.305000000000003
xx,4,2,99.0,20.0,4.540000000000012
sam,10,all,20.0,5.0,3.530000000000012
Andy,5,2,15.0,10.0,1.3349999999999973
wilson,10,1,15.0,7.0,4.160000000000008
xxx,4,2,10.0,15.0,0.8499999999999952
YUN,50,3,15.0,20.0,3.7400000000000095
666,43,3,9.0,12.0,5.4300000000000015
inky,4,10,100.0,50.0,2.1749999999999936
kay,50,1,50.0,50.0,-2.5449999999999973
louis,80,5,90.0,90.0,9.454999999999991
levin,50,10,90.0,90.0,3.7400000000000095
tom,90,8,50.0,90.0,10.959999999999992
aple,90,8,50.0,90.0,10.959999999999992
123,5,8,90.0,90.0,3.325
456,5,8,90.0,50.0,3.325
tina,8,5,90.0,90.0,8.155000000000001
Ray,9,10,80.0,90.0,7.184999999999998
abc,10,10,90.0,90.0,6.03499999999999
asd,8,10,100.0,100.0,6.1350000000000025
abc,100,10,100.0,100.0,4.834999999999988
abc,10,10,90.0,90.0,6.03499999999999
inky,10,10,50.0,90.0,6.03499999999999
inky,10,10,90.0,90.0,6.03499999999999
inky,4,1,90.0,90.0,16.674999999999994
ai,4,1,90.0,90.0,16.674999999999994
mrai,4,1,50.0,90.0,16.674999999999994
ai,4,1,90.0,50.0,16.674999999999997
